Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hemse;78140;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1901-03-01 00:00:00;1980-06-30 23:59:59;25.0;57.2438;18.3835
1980-11-01 00:00:00;2019-05-31 23:59:59;22.072;57.243655;18.378776

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;2.2;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-2.2;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;1.4;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;4.9;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;9.6;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;13.4;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;17.5;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;16.4;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;12.9;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;7.9;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;1.9;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;0.3;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;-0.2;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-1.7;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;-0.7;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;4.8;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;10.1;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;13.2;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;15.8;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;11.3;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;9.7;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;4.5;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;1.4;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-5.2;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-7.5;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;-0.2;Y
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;2.0;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;9.2;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;13.3;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;15.2;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;10.0;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;7.3;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;1.3;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;-0.4;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-2.9;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-6.8;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;0.2;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;3.1;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;9.6;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;13.9;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;16.2;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;14.3;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;9.4;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;7.3;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;5.4;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;0.8;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-6.8;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-3.2;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-3.8;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;3.8;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;7.6;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;11.4;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.5;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;13.4;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;10.5;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;8.3;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;3.1;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;0.5;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;1.3;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;0.9;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;-0.4;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;3.0;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;9.5;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;14.8;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;17.0;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;14.9;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;12.6;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;6.6;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;0.3;Y
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;-0.1;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;2.9;Y
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;2.7;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;3.1;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;4.5;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;9.6;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;13.5;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;15.9;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;14.4;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;12.4;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;8.6;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;3.1;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;-0.2;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;2.5;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;4.0;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;4.2;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;9.3;Y
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;13.9;Y
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;14.7;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;16.2;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;10.9;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;7.8;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;3.4;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;1.6;Y
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;0.9;Y
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-1.4;Y
1991-03-01 00:00:01;1991-04-01 00:00:00;1991-03;2.5;Y
1991-04-01 00:00:01;1991-05-01 00:00:00;1991-04;3.6;Y
1991-05-01 00:00:01;1991-06-01 00:00:00;1991-05;7.5;Y
1991-06-01 00:00:01;1991-07-01 00:00:00;1991-06;10.6;Y
1991-07-01 00:00:01;1991-08-01 00:00:00;1991-07;16.2;Y
1991-08-01 00:00:01;1991-09-01 00:00:00;1991-08;16.7;Y
1991-09-01 00:00:01;1991-10-01 00:00:00;1991-09;11.7;Y
1991-10-01 00:00:01;1991-11-01 00:00:00;1991-10;7.9;Y
1991-12-01 00:00:01;1992-01-01 00:00:00;1991-12;1.4;Y
1992-01-01 00:00:01;1992-02-01 00:00:00;1992-01;1.1;Y
1992-02-01 00:00:01;1992-03-01 00:00:00;1992-02;1.0;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;2.5;Y
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;3.3;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;9.9;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;13.5;Y
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;15.7;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;15.6;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;11.9;Y
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;4.7;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;3.6;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;0.4;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;1.1;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;0.5;Y
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;1.7;Y
1993-04-01 00:00:01;1993-05-01 00:00:00;1993-04;4.3;Y
1993-05-01 00:00:01;1993-06-01 00:00:00;1993-05;10.9;Y
1993-06-01 00:00:01;1993-07-01 00:00:00;1993-06;11.8;Y
1993-07-01 00:00:01;1993-08-01 00:00:00;1993-07;14.2;Y
1993-08-01 00:00:01;1993-09-01 00:00:00;1993-08;13.0;Y
1993-10-01 00:00:01;1993-11-01 00:00:00;1993-10;6.7;Y
1993-11-01 00:00:01;1993-12-01 00:00:00;1993-11;1.2;Y
1993-12-01 00:00:01;1994-01-01 00:00:00;1993-12;1.1;Y
1994-01-01 00:00:01;1994-02-01 00:00:00;1994-01;0.3;Y
1994-02-01 00:00:01;1994-03-01 00:00:00;1994-02;-4.8;Y
1994-03-01 00:00:01;1994-04-01 00:00:00;1994-03;1.0;Y
