Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma V;78290;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-05-01 00:00:00;2015-12-31 23:59:59;32.0;57.54361;18.42533

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2000-06-01 00:00:01;2000-07-01 00:00:00;2000-06;14.5;Y
2000-07-01 00:00:01;2000-08-01 00:00:00;2000-07;15.8;Y
2000-08-01 00:00:01;2000-09-01 00:00:00;2000-08;15.8;Y
2000-09-01 00:00:01;2000-10-01 00:00:00;2000-09;11.1;Y
2000-10-01 00:00:01;2000-11-01 00:00:00;2000-10;10.9;Y
2000-11-01 00:00:01;2000-12-01 00:00:00;2000-11;7.1;Y
2000-12-01 00:00:01;2001-01-01 00:00:00;2000-12;3.5;Y
2001-01-01 00:00:01;2001-02-01 00:00:00;2001-01;1.4;Y
2001-02-01 00:00:01;2001-03-01 00:00:00;2001-02;-1.5;Y
2001-03-01 00:00:01;2001-04-01 00:00:00;2001-03;-0.2;Y
2001-04-01 00:00:01;2001-05-01 00:00:00;2001-04;5.6;Y
2001-05-01 00:00:01;2001-06-01 00:00:00;2001-05;10.6;Y
2001-06-01 00:00:01;2001-07-01 00:00:00;2001-06;13.9;Y
2001-07-01 00:00:01;2001-08-01 00:00:00;2001-07;19.2;Y
2001-08-01 00:00:01;2001-09-01 00:00:00;2001-08;16.9;Y
2001-09-01 00:00:01;2001-10-01 00:00:00;2001-09;12.0;Y
2001-10-01 00:00:01;2001-11-01 00:00:00;2001-10;10.4;Y
2001-11-01 00:00:01;2001-12-01 00:00:00;2001-11;3.5;Y
2001-12-01 00:00:01;2002-01-01 00:00:00;2001-12;-0.7;Y
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;0.9;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;2.5;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;2.6;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;5.9;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;12.2;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;16.3;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;18.5;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;19.9;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;13.5;Y
2002-10-01 00:00:01;2002-11-01 00:00:00;2002-10;5.0;Y
2002-11-01 00:00:01;2002-12-01 00:00:00;2002-11;2.7;Y
2002-12-01 00:00:01;2003-01-01 00:00:00;2002-12;-2.0;Y
2003-01-01 00:00:01;2003-02-01 00:00:00;2003-01;-1.8;Y
2003-02-01 00:00:01;2003-03-01 00:00:00;2003-02;-3.1;Y
2003-03-01 00:00:01;2003-04-01 00:00:00;2003-03;1.9;Y
2003-04-01 00:00:01;2003-05-01 00:00:00;2003-04;4.1;Y
2003-05-01 00:00:01;2003-06-01 00:00:00;2003-05;11.4;Y
2003-06-01 00:00:01;2003-07-01 00:00:00;2003-06;15.5;Y
2003-07-01 00:00:01;2003-08-01 00:00:00;2003-07;19.3;Y
2003-08-01 00:00:01;2003-09-01 00:00:00;2003-08;17.6;Y
2003-10-01 00:00:01;2003-11-01 00:00:00;2003-10;6.0;Y
2003-11-01 00:00:01;2003-12-01 00:00:00;2003-11;5.7;Y
2003-12-01 00:00:01;2004-01-01 00:00:00;2003-12;2.8;Y
2004-01-01 00:00:01;2004-02-01 00:00:00;2004-01;-2.5;Y
2004-02-01 00:00:01;2004-03-01 00:00:00;2004-02;0.1;Y
2004-03-01 00:00:01;2004-04-01 00:00:00;2004-03;1.7;Y
2004-04-01 00:00:01;2004-05-01 00:00:00;2004-04;6.4;Y
2004-05-01 00:00:01;2004-06-01 00:00:00;2004-05;10.5;Y
2004-06-01 00:00:01;2004-07-01 00:00:00;2004-06;13.3;Y
2004-07-01 00:00:01;2004-08-01 00:00:00;2004-07;15.5;Y
2004-08-01 00:00:01;2004-09-01 00:00:00;2004-08;17.5;Y
2004-09-01 00:00:01;2004-10-01 00:00:00;2004-09;12.7;Y
2004-10-01 00:00:01;2004-11-01 00:00:00;2004-10;7.7;Y
2004-11-01 00:00:01;2004-12-01 00:00:00;2004-11;1.9;Y
2004-12-01 00:00:01;2005-01-01 00:00:00;2004-12;1.9;Y
2005-01-01 00:00:01;2005-02-01 00:00:00;2005-01;1.3;Y
2005-02-01 00:00:01;2005-03-01 00:00:00;2005-02;-1.7;Y
2005-03-01 00:00:01;2005-04-01 00:00:00;2005-03;-2.4;Y
2005-04-01 00:00:01;2005-05-01 00:00:00;2005-04;5.4;Y
2005-05-01 00:00:01;2005-06-01 00:00:00;2005-05;9.9;Y
2005-06-01 00:00:01;2005-07-01 00:00:00;2005-06;13.7;Y
2005-07-01 00:00:01;2005-08-01 00:00:00;2005-07;17.7;Y
2005-08-01 00:00:01;2005-09-01 00:00:00;2005-08;15.5;Y
2005-09-01 00:00:01;2005-10-01 00:00:00;2005-09;13.1;Y
2005-10-01 00:00:01;2005-11-01 00:00:00;2005-10;8.5;Y
2005-11-01 00:00:01;2005-12-01 00:00:00;2005-11;4.6;Y
2005-12-01 00:00:01;2006-01-01 00:00:00;2005-12;0.9;Y
2006-01-01 00:00:01;2006-02-01 00:00:00;2006-01;-1.9;Y
2006-02-01 00:00:01;2006-03-01 00:00:00;2006-02;-2.0;Y
2006-03-01 00:00:01;2006-04-01 00:00:00;2006-03;-3.2;Y
2006-04-01 00:00:01;2006-05-01 00:00:00;2006-04;5.2;Y
2006-05-01 00:00:01;2006-06-01 00:00:00;2006-05;10.7;Y
2006-06-01 00:00:01;2006-07-01 00:00:00;2006-06;15.5;Y
2006-07-01 00:00:01;2006-08-01 00:00:00;2006-07;20.0;Y
2006-08-01 00:00:01;2006-09-01 00:00:00;2006-08;17.8;Y
2006-09-01 00:00:01;2006-10-01 00:00:00;2006-09;15.2;Y
2006-10-01 00:00:01;2006-11-01 00:00:00;2006-10;10.6;Y
2006-11-01 00:00:01;2006-12-01 00:00:00;2006-11;5.8;Y
2006-12-01 00:00:01;2007-01-01 00:00:00;2006-12;5.0;Y
2007-01-01 00:00:01;2007-02-01 00:00:00;2007-01;1.8;Y
2007-02-01 00:00:01;2007-03-01 00:00:00;2007-02;-2.2;Y
2007-03-01 00:00:01;2007-04-01 00:00:00;2007-03;4.5;Y
2007-04-01 00:00:01;2007-05-01 00:00:00;2007-04;6.3;Y
2007-05-01 00:00:01;2007-06-01 00:00:00;2007-05;11.4;Y
2007-06-01 00:00:01;2007-07-01 00:00:00;2007-06;16.2;Y
2007-07-01 00:00:01;2007-08-01 00:00:00;2007-07;15.9;Y
2007-08-01 00:00:01;2007-09-01 00:00:00;2007-08;17.0;Y
2007-09-01 00:00:01;2007-10-01 00:00:00;2007-09;12.3;Y
2007-10-01 00:00:01;2007-11-01 00:00:00;2007-10;7.1;Y
2007-11-01 00:00:01;2007-12-01 00:00:00;2007-11;3.3;Y
2007-12-01 00:00:01;2008-01-01 00:00:00;2007-12;3.2;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;2.4;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;3.2;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;1.8;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;6.3;Y
