Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma;78310;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1918-02-01 00:00:00;1974-06-30 23:59:59;32.0;57.5069;18.4539

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1922-11-01 00:00:01;1922-12-01 00:00:00;1922-11;1.8;G
1922-12-01 00:00:01;1923-01-01 00:00:00;1922-12;0.7;G
1923-01-01 00:00:01;1923-02-01 00:00:00;1923-01;0.4;G
1923-02-01 00:00:01;1923-03-01 00:00:00;1923-02;-4.0;G
1923-03-01 00:00:01;1923-04-01 00:00:00;1923-03;0.6;G
1923-04-01 00:00:01;1923-05-01 00:00:00;1923-04;1.8;G
1923-05-01 00:00:01;1923-06-01 00:00:00;1923-05;8.5;G
1923-06-01 00:00:01;1923-07-01 00:00:00;1923-06;10.8;G
1923-07-01 00:00:01;1923-08-01 00:00:00;1923-07;16.6;G
1923-08-01 00:00:01;1923-09-01 00:00:00;1923-08;14.2;G
1923-09-01 00:00:01;1923-10-01 00:00:00;1923-09;11.5;G
1923-10-01 00:00:01;1923-11-01 00:00:00;1923-10;8.0;G
1923-11-01 00:00:01;1923-12-01 00:00:00;1923-11;2.6;G
1923-12-01 00:00:01;1924-01-01 00:00:00;1923-12;-1.5;G
1924-01-01 00:00:01;1924-02-01 00:00:00;1924-01;-3.2;G
1924-02-01 00:00:01;1924-03-01 00:00:00;1924-02;-5.2;G
1924-03-01 00:00:01;1924-04-01 00:00:00;1924-03;-2.2;G
1924-04-01 00:00:01;1924-05-01 00:00:00;1924-04;1.7;G
1924-05-01 00:00:01;1924-06-01 00:00:00;1924-05;9.8;G
1924-06-01 00:00:01;1924-07-01 00:00:00;1924-06;13.6;G
1924-07-01 00:00:01;1924-08-01 00:00:00;1924-07;15.8;G
1924-08-01 00:00:01;1924-09-01 00:00:00;1924-08;15.8;G
1924-09-01 00:00:01;1924-10-01 00:00:00;1924-09;12.9;G
1924-10-01 00:00:01;1924-11-01 00:00:00;1924-10;8.4;G
1924-11-01 00:00:01;1924-12-01 00:00:00;1924-11;4.4;G
1924-12-01 00:00:01;1925-01-01 00:00:00;1924-12;2.5;G
1925-01-01 00:00:01;1925-02-01 00:00:00;1925-01;1.3;G
1925-02-01 00:00:01;1925-03-01 00:00:00;1925-02;1.8;G
1925-03-01 00:00:01;1925-04-01 00:00:00;1925-03;-0.9;G
1925-04-01 00:00:01;1925-05-01 00:00:00;1925-04;5.2;G
1925-05-01 00:00:01;1925-06-01 00:00:00;1925-05;10.6;G
1925-06-01 00:00:01;1925-07-01 00:00:00;1925-06;13.4;G
1925-07-01 00:00:01;1925-08-01 00:00:00;1925-07;18.5;G
1925-08-01 00:00:01;1925-09-01 00:00:00;1925-08;16.2;G
1925-09-01 00:00:01;1925-10-01 00:00:00;1925-09;11.8;G
1925-10-01 00:00:01;1925-11-01 00:00:00;1925-10;5.8;G
1925-11-01 00:00:01;1925-12-01 00:00:00;1925-11;0.4;G
1925-12-01 00:00:01;1926-01-01 00:00:00;1925-12;-2.0;G
1926-01-01 00:00:01;1926-02-01 00:00:00;1926-01;-1.8;G
1926-02-01 00:00:01;1926-03-01 00:00:00;1926-02;-1.7;G
1926-03-01 00:00:01;1926-04-01 00:00:00;1926-03;0.4;G
1926-04-01 00:00:01;1926-05-01 00:00:00;1926-04;4.5;G
1926-05-01 00:00:01;1926-06-01 00:00:00;1926-05;8.7;G
1926-06-01 00:00:01;1926-07-01 00:00:00;1926-06;14.1;G
1926-07-01 00:00:01;1926-08-01 00:00:00;1926-07;18.2;G
1926-08-01 00:00:01;1926-09-01 00:00:00;1926-08;15.0;G
1926-09-01 00:00:01;1926-10-01 00:00:00;1926-09;11.7;G
1926-10-01 00:00:01;1926-11-01 00:00:00;1926-10;5.0;G
1926-11-01 00:00:01;1926-12-01 00:00:00;1926-11;4.6;G
1926-12-01 00:00:01;1927-01-01 00:00:00;1926-12;-0.8;G
1927-01-01 00:00:01;1927-02-01 00:00:00;1927-01;-0.6;G
1927-02-01 00:00:01;1927-03-01 00:00:00;1927-02;-0.8;G
1927-03-01 00:00:01;1927-04-01 00:00:00;1927-03;2.8;G
1927-04-01 00:00:01;1927-05-01 00:00:00;1927-04;3.6;G
1927-05-01 00:00:01;1927-06-01 00:00:00;1927-05;6.5;G
1927-06-01 00:00:01;1927-07-01 00:00:00;1927-06;12.6;G
1927-07-01 00:00:01;1927-08-01 00:00:00;1927-07;18.8;G
1927-08-01 00:00:01;1927-09-01 00:00:00;1927-08;17.2;G
1927-09-01 00:00:01;1927-10-01 00:00:00;1927-09;11.9;G
1927-10-01 00:00:01;1927-11-01 00:00:00;1927-10;7.0;G
1927-11-01 00:00:01;1927-12-01 00:00:00;1927-11;0.8;G
1927-12-01 00:00:01;1928-01-01 00:00:00;1927-12;-3.4;G
1928-01-01 00:00:01;1928-02-01 00:00:00;1928-01;-0.7;G
1928-02-01 00:00:01;1928-03-01 00:00:00;1928-02;-1.0;G
1928-03-01 00:00:01;1928-04-01 00:00:00;1928-03;-0.8;G
1928-04-01 00:00:01;1928-05-01 00:00:00;1928-04;4.0;G
1928-05-01 00:00:01;1928-06-01 00:00:00;1928-05;9.0;G
1928-06-01 00:00:01;1928-07-01 00:00:00;1928-06;10.9;G
1928-07-01 00:00:01;1928-08-01 00:00:00;1928-07;15.1;G
1928-08-01 00:00:01;1928-09-01 00:00:00;1928-08;14.1;G
1928-09-01 00:00:01;1928-10-01 00:00:00;1928-09;11.2;G
1928-10-01 00:00:01;1928-11-01 00:00:00;1928-10;7.3;G
