Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Buttle;78240;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-07-01 00:00:00;1983-08-31 23:59:59;45.0;57.4034;18.5297
1912-02-01 00:00:00;1941-01-31 23:59:59;45.0;57.4;18.5

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1925-12-01 00:00:01;1926-01-01 00:00:00;1925-12;-2.9;G
1926-01-01 00:00:01;1926-02-01 00:00:00;1926-01;-1.9;G
1926-02-01 00:00:01;1926-03-01 00:00:00;1926-02;-1.9;G
1926-03-01 00:00:01;1926-04-01 00:00:00;1926-03;-0.3;G
1926-04-01 00:00:01;1926-05-01 00:00:00;1926-04;4.2;G
1926-05-01 00:00:01;1926-06-01 00:00:00;1926-05;8.9;G
1926-06-01 00:00:01;1926-07-01 00:00:00;1926-06;13.7;G
1926-07-01 00:00:01;1926-08-01 00:00:00;1926-07;17.1;G
1926-08-01 00:00:01;1926-09-01 00:00:00;1926-08;14.9;G
1926-09-01 00:00:01;1926-10-01 00:00:00;1926-09;11.4;G
1926-10-01 00:00:01;1926-11-01 00:00:00;1926-10;4.5;G
1926-11-01 00:00:01;1926-12-01 00:00:00;1926-11;4.3;G
1926-12-01 00:00:01;1927-01-01 00:00:00;1926-12;-1.7;G
1927-01-01 00:00:01;1927-02-01 00:00:00;1927-01;-1.0;G
1927-02-01 00:00:01;1927-03-01 00:00:00;1927-02;-1.0;G
1927-03-01 00:00:01;1927-04-01 00:00:00;1927-03;2.7;G
1927-04-01 00:00:01;1927-05-01 00:00:00;1927-04;3.7;G
1927-05-01 00:00:01;1927-06-01 00:00:00;1927-05;6.3;G
1927-06-01 00:00:01;1927-07-01 00:00:00;1927-06;12.6;G
1927-07-01 00:00:01;1927-08-01 00:00:00;1927-07;18.8;G
1927-08-01 00:00:01;1927-09-01 00:00:00;1927-08;16.8;G
1927-09-01 00:00:01;1927-10-01 00:00:00;1927-09;11.4;G
1927-10-01 00:00:01;1927-11-01 00:00:00;1927-10;6.5;G
1927-11-01 00:00:01;1927-12-01 00:00:00;1927-11;0.4;G
1927-12-01 00:00:01;1928-01-01 00:00:00;1927-12;-3.9;G
1928-01-01 00:00:01;1928-02-01 00:00:00;1928-01;-1.3;G
1928-02-01 00:00:01;1928-03-01 00:00:00;1928-02;-1.8;G
1928-03-01 00:00:01;1928-04-01 00:00:00;1928-03;-1.5;G
1928-04-01 00:00:01;1928-05-01 00:00:00;1928-04;3.9;G
1928-05-01 00:00:01;1928-06-01 00:00:00;1928-05;7.7;G
1928-06-01 00:00:01;1928-07-01 00:00:00;1928-06;10.8;G
1928-07-01 00:00:01;1928-08-01 00:00:00;1928-07;15.3;G
1928-08-01 00:00:01;1928-09-01 00:00:00;1928-08;13.8;G
1928-09-01 00:00:01;1928-10-01 00:00:00;1928-09;10.5;G
1928-10-01 00:00:01;1928-11-01 00:00:00;1928-10;6.7;G
1928-11-01 00:00:01;1928-12-01 00:00:00;1928-11;4.3;G
1928-12-01 00:00:01;1929-01-01 00:00:00;1928-12;-0.8;G
1929-01-01 00:00:01;1929-02-01 00:00:00;1929-01;-4.8;G
1929-02-01 00:00:01;1929-03-01 00:00:00;1929-02;-7.2;G
1929-03-01 00:00:01;1929-04-01 00:00:00;1929-03;0.1;G
1929-04-01 00:00:01;1929-05-01 00:00:00;1929-04;0.7;G
1929-05-01 00:00:01;1929-06-01 00:00:00;1929-05;9.4;G
1929-06-01 00:00:01;1929-07-01 00:00:00;1929-06;11.8;G
1929-07-01 00:00:01;1929-08-01 00:00:00;1929-07;15.4;G
1929-08-01 00:00:01;1929-09-01 00:00:00;1929-08;14.3;G
1929-09-01 00:00:01;1929-10-01 00:00:00;1929-09;12.1;G
1929-10-01 00:00:01;1929-11-01 00:00:00;1929-10;8.1;G
1929-11-01 00:00:01;1929-12-01 00:00:00;1929-11;4.3;G
1929-12-01 00:00:01;1930-01-01 00:00:00;1929-12;2.6;G
1930-01-01 00:00:01;1930-02-01 00:00:00;1930-01;1.3;G
1930-02-01 00:00:01;1930-03-01 00:00:00;1930-02;-1.6;G
1930-03-01 00:00:01;1930-04-01 00:00:00;1930-03;0.9;G
1930-04-01 00:00:01;1930-05-01 00:00:00;1930-04;5.5;G
1930-05-01 00:00:01;1930-06-01 00:00:00;1930-05;9.8;G
1930-06-01 00:00:01;1930-07-01 00:00:00;1930-06;14.7;G
1930-07-01 00:00:01;1930-08-01 00:00:00;1930-07;15.5;G
1930-08-01 00:00:01;1930-09-01 00:00:00;1930-08;15.1;G
1930-09-01 00:00:01;1930-10-01 00:00:00;1930-09;10.0;G
1930-10-01 00:00:01;1930-11-01 00:00:00;1930-10;7.9;G
1930-11-01 00:00:01;1930-12-01 00:00:00;1930-11;2.8;G
1930-12-01 00:00:01;1931-01-01 00:00:00;1930-12;0.4;G
1931-01-01 00:00:01;1931-02-01 00:00:00;1931-01;-1.7;G
1931-02-01 00:00:01;1931-03-01 00:00:00;1931-02;-2.4;G
1931-03-01 00:00:01;1931-04-01 00:00:00;1931-03;-4.4;G
1931-04-01 00:00:01;1931-05-01 00:00:00;1931-04;1.9;G
1931-05-01 00:00:01;1931-06-01 00:00:00;1931-05;10.3;G
1931-06-01 00:00:01;1931-07-01 00:00:00;1931-06;11.5;G
1931-07-01 00:00:01;1931-08-01 00:00:00;1931-07;15.0;G
1931-08-01 00:00:01;1931-09-01 00:00:00;1931-08;14.1;G
1931-09-01 00:00:01;1931-10-01 00:00:00;1931-09;8.9;G
1931-10-01 00:00:01;1931-11-01 00:00:00;1931-10;5.8;G
1931-11-01 00:00:01;1931-12-01 00:00:00;1931-11;3.2;G
1931-12-01 00:00:01;1932-01-01 00:00:00;1931-12;-0.9;G
1932-01-01 00:00:01;1932-02-01 00:00:00;1932-01;1.0;G
1932-02-01 00:00:01;1932-03-01 00:00:00;1932-02;-1.8;G
1932-03-01 00:00:01;1932-04-01 00:00:00;1932-03;-2.3;G
1932-04-01 00:00:01;1932-05-01 00:00:00;1932-04;4.0;G
1932-05-01 00:00:01;1932-06-01 00:00:00;1932-05;9.3;G
1932-06-01 00:00:01;1932-07-01 00:00:00;1932-06;12.7;G
1932-07-01 00:00:01;1932-08-01 00:00:00;1932-07;17.8;G
1932-08-01 00:00:01;1932-09-01 00:00:00;1932-08;14.6;G
1932-09-01 00:00:01;1932-10-01 00:00:00;1932-09;12.0;G
1932-10-01 00:00:01;1932-11-01 00:00:00;1932-10;6.0;G
1932-11-01 00:00:01;1932-12-01 00:00:00;1932-11;2.5;G
1932-12-01 00:00:01;1933-01-01 00:00:00;1932-12;2.3;G
1933-01-01 00:00:01;1933-02-01 00:00:00;1933-01;-2.5;G
1933-02-01 00:00:01;1933-03-01 00:00:00;1933-02;-2.6;G
1933-03-01 00:00:01;1933-04-01 00:00:00;1933-03;2.0;G
1933-04-01 00:00:01;1933-05-01 00:00:00;1933-04;4.3;G
1933-05-01 00:00:01;1933-06-01 00:00:00;1933-05;7.5;G
1933-06-01 00:00:01;1933-07-01 00:00:00;1933-06;13.6;G
1933-07-01 00:00:01;1933-08-01 00:00:00;1933-07;15.9;G
1933-08-01 00:00:01;1933-09-01 00:00:00;1933-08;14.6;G
1933-09-01 00:00:01;1933-10-01 00:00:00;1933-09;11.0;G
1933-10-01 00:00:01;1933-11-01 00:00:00;1933-10;7.7;G
1933-11-01 00:00:01;1933-12-01 00:00:00;1933-11;1.5;G
1933-12-01 00:00:01;1934-01-01 00:00:00;1933-12;-1.7;G
1934-01-01 00:00:01;1934-02-01 00:00:00;1934-01;-0.2;G
1934-02-01 00:00:01;1934-03-01 00:00:00;1934-02;1.0;G
1934-03-01 00:00:01;1934-04-01 00:00:00;1934-03;1.7;G
1934-04-01 00:00:01;1934-05-01 00:00:00;1934-04;5.3;G
1934-05-01 00:00:01;1934-06-01 00:00:00;1934-05;11.9;G
1934-06-01 00:00:01;1934-07-01 00:00:00;1934-06;13.9;G
1934-07-01 00:00:01;1934-08-01 00:00:00;1934-07;15.6;G
1934-08-01 00:00:01;1934-09-01 00:00:00;1934-08;15.6;G
1934-09-01 00:00:01;1934-10-01 00:00:00;1934-09;13.8;G
1934-10-01 00:00:01;1934-11-01 00:00:00;1934-10;8.4;G
1934-11-01 00:00:01;1934-12-01 00:00:00;1934-11;4.1;G
1934-12-01 00:00:01;1935-01-01 00:00:00;1934-12;3.0;G
1935-01-01 00:00:01;1935-02-01 00:00:00;1935-01;-3.0;G
1935-02-01 00:00:01;1935-03-01 00:00:00;1935-02;-0.4;G
1935-03-01 00:00:01;1935-04-01 00:00:00;1935-03;-0.1;G
1935-04-01 00:00:01;1935-05-01 00:00:00;1935-04;4.4;G
1935-05-01 00:00:01;1935-06-01 00:00:00;1935-05;6.9;G
1935-06-01 00:00:01;1935-07-01 00:00:00;1935-06;14.4;G
1935-07-01 00:00:01;1935-08-01 00:00:00;1935-07;15.5;G
1935-08-01 00:00:01;1935-09-01 00:00:00;1935-08;15.1;G
1935-09-01 00:00:01;1935-10-01 00:00:00;1935-09;11.8;G
1935-10-01 00:00:01;1935-11-01 00:00:00;1935-10;7.6;G
1935-11-01 00:00:01;1935-12-01 00:00:00;1935-11;3.9;G
1935-12-01 00:00:01;1936-01-01 00:00:00;1935-12;1.0;G
