Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Näsudden Aut;78040;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-03-01 00:00:00;1999-02-28 23:59:59;5.0;57.0735;18.2222

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1995-05-01 00:00:01;1995-06-01 00:00:00;1995-05;7.9;Y
1995-06-01 00:00:01;1995-07-01 00:00:00;1995-06;13.7;Y
1995-07-01 00:00:01;1995-08-01 00:00:00;1995-07;16.0;Y
1995-08-01 00:00:01;1995-09-01 00:00:00;1995-08;17.5;Y
1995-09-01 00:00:01;1995-10-01 00:00:00;1995-09;13.1;Y
1995-10-01 00:00:01;1995-11-01 00:00:00;1995-10;11.2;Y
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;3.1;Y
1995-12-01 00:00:01;1996-01-01 00:00:00;1995-12;-0.5;Y
1996-01-01 00:00:01;1996-02-01 00:00:00;1996-01;-1.4;Y
1996-02-01 00:00:01;1996-03-01 00:00:00;1996-02;-3.4;Y
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-0.7;Y
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;5.1;Y
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;7.3;Y
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;12.1;Y
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;13.9;Y
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;17.8;Y
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;11.3;Y
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;9.8;Y
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;6.0;Y
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-0.2;Y
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;0.2;Y
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;1.1;Y
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;2.1;Y
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;3.0;Y
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;8.0;Y
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;14.7;Y
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;18.2;Y
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;20.7;Y
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;14.1;Y
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;7.1;Y
1997-11-01 00:00:01;1997-12-01 00:00:00;1997-11;4.1;Y
1997-12-01 00:00:01;1998-01-01 00:00:00;1997-12;1.9;Y
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;2.1;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;2.7;Y
1998-03-01 00:00:01;1998-04-01 00:00:00;1998-03;0.9;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;4.4;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;9.6;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;1.5;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;1.1;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;0.2;Y
