Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1956-02-01 00:00:00;1974-04-30 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-01-01 00:00:01;1965-02-01 00:00:00;1965-01;-0.6;Y
1965-02-01 00:00:01;1965-03-01 00:00:00;1965-02;-3.4;Y
1965-03-01 00:00:01;1965-04-01 00:00:00;1965-03;-1.1;Y
1965-10-01 00:00:01;1965-11-01 00:00:00;1965-10;8.6;Y
1965-11-01 00:00:01;1965-12-01 00:00:00;1965-11;0.1;Y
1965-12-01 00:00:01;1966-01-01 00:00:00;1965-12;-0.5;Y
1966-01-01 00:00:01;1966-02-01 00:00:00;1966-01;-3.9;Y
1966-02-01 00:00:01;1966-03-01 00:00:00;1966-02;-6.8;Y
1966-03-01 00:00:01;1966-04-01 00:00:00;1966-03;-0.0;Y
1966-10-01 00:00:01;1966-11-01 00:00:00;1966-10;7.5;Y
1966-11-01 00:00:01;1966-12-01 00:00:00;1966-11;3.2;Y
1966-12-01 00:00:01;1967-01-01 00:00:00;1966-12;0.5;Y
1967-01-01 00:00:01;1967-02-01 00:00:00;1967-01;-3.4;Y
1967-02-01 00:00:01;1967-03-01 00:00:00;1967-02;-0.2;Y
1967-03-01 00:00:01;1967-04-01 00:00:00;1967-03;3.6;Y
1967-10-01 00:00:01;1967-11-01 00:00:00;1967-10;10.2;Y
1967-11-01 00:00:01;1967-12-01 00:00:00;1967-11;4.3;Y
1967-12-01 00:00:01;1968-01-01 00:00:00;1967-12;-2.0;Y
1968-01-01 00:00:01;1968-02-01 00:00:00;1968-01;-3.2;Y
1968-02-01 00:00:01;1968-03-01 00:00:00;1968-02;-2.9;Y
1968-03-01 00:00:01;1968-04-01 00:00:00;1968-03;1.8;Y
1968-10-01 00:00:01;1968-11-01 00:00:00;1968-10;7.5;Y
1968-11-01 00:00:01;1968-12-01 00:00:00;1968-11;4.1;Y
1968-12-01 00:00:01;1969-01-01 00:00:00;1968-12;0.5;Y
1969-01-01 00:00:01;1969-02-01 00:00:00;1969-01;-2.6;Y
1969-02-01 00:00:01;1969-03-01 00:00:00;1969-02;-4.0;Y
1969-03-01 00:00:01;1969-04-01 00:00:00;1969-03;-3.3;Y
1969-10-01 00:00:01;1969-11-01 00:00:00;1969-10;8.5;Y
1969-11-01 00:00:01;1969-12-01 00:00:00;1969-11;3.8;Y
1969-12-01 00:00:01;1970-01-01 00:00:00;1969-12;-2.5;Y
1970-01-01 00:00:01;1970-02-01 00:00:00;1970-01;-3.9;Y
1970-02-01 00:00:01;1970-03-01 00:00:00;1970-02;-6.6;Y
1970-03-01 00:00:01;1970-04-01 00:00:00;1970-03;-0.9;Y
1970-10-01 00:00:01;1970-11-01 00:00:00;1970-10;7.7;Y
1970-11-01 00:00:01;1970-12-01 00:00:00;1970-11;3.1;Y
1970-12-01 00:00:01;1971-01-01 00:00:00;1970-12;1.0;Y
1971-01-01 00:00:01;1971-02-01 00:00:00;1971-01;0.3;Y
1971-02-01 00:00:01;1971-03-01 00:00:00;1971-02;-0.2;Y
1971-03-01 00:00:01;1971-04-01 00:00:00;1971-03;-2.4;Y
1971-10-01 00:00:01;1971-11-01 00:00:00;1971-10;6.9;Y
1971-11-01 00:00:01;1971-12-01 00:00:00;1971-11;1.4;Y
1971-12-01 00:00:01;1972-01-01 00:00:00;1971-12;1.2;Y
1972-01-01 00:00:01;1972-02-01 00:00:00;1972-01;-4.0;Y
1972-02-01 00:00:01;1972-03-01 00:00:00;1972-02;-1.7;Y
1972-03-01 00:00:01;1972-04-01 00:00:00;1972-03;0.4;Y
1972-10-01 00:00:01;1972-11-01 00:00:00;1972-10;5.9;Y
1972-11-01 00:00:01;1972-12-01 00:00:00;1972-11;3.6;Y
1972-12-01 00:00:01;1973-01-01 00:00:00;1972-12;2.7;Y
1973-01-01 00:00:01;1973-02-01 00:00:00;1973-01;0.7;Y
1973-02-01 00:00:01;1973-03-01 00:00:00;1973-02;1.1;Y
1973-03-01 00:00:01;1973-04-01 00:00:00;1973-03;3.1;Y
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;5.3;Y
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;1.6;Y
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;-0.3;Y
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;0.6;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;0.6;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;1.7;Y
