Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/10/1973 00:00,01/11/1973 00:00,1973-10,6,Y,57.6614,18.3428,,
01/11/1973 00:00,01/12/1973 00:00,1973-11,2.3,Y,57.6614,18.3428,,
01/12/1973 00:00,01/01/1974 00:00,1973-12,0.1,Y,57.6614,18.3428,,
01/01/1974 00:00,01/02/1974 00:00,1974-01,1,Y,57.6614,18.3428,,
01/02/1974 00:00,01/03/1974 00:00,1974-02,1.3,Y,57.6614,18.3428,,
01/03/1974 00:00,01/04/1974 00:00,1974-03,1.5,Y,57.6614,18.3428,,
01/04/1974 00:00,01/05/1974 00:00,1974-04,4.5,Y,57.6614,18.3428,,
01/05/1974 00:00,01/06/1974 00:00,1974-05,8,Y,57.6614,18.3428,,
01/06/1974 00:00,01/07/1974 00:00,1974-06,14,Y,57.6614,18.3428,,
01/07/1974 00:00,01/08/1974 00:00,1974-07,15.5,Y,57.6614,18.3428,,
01/08/1974 00:00,01/09/1974 00:00,1974-08,15.9,Y,57.6614,18.3428,,
01/09/1974 00:00,01/10/1974 00:00,1974-09,13.4,Y,57.6614,18.3428,,
01/10/1974 00:00,01/11/1974 00:00,1974-10,7.2,Y,57.6614,18.3428,,
01/11/1974 00:00,01/12/1974 00:00,1974-11,5.2,Y,57.6614,18.3428,,
01/12/1974 00:00,01/01/1975 00:00,1974-12,3.3,Y,57.6614,18.3428,,
01/01/1975 00:00,01/02/1975 00:00,1975-01,2.9,Y,57.6614,18.3428,,
01/02/1975 00:00,01/03/1975 00:00,1975-02,1.2,Y,57.6614,18.3428,,
01/03/1975 00:00,01/04/1975 00:00,1975-03,1.4,Y,57.6614,18.3428,,
01/04/1975 00:00,01/05/1975 00:00,1975-04,4.3,Y,57.6614,18.3428,,
01/05/1975 00:00,01/06/1975 00:00,1975-05,10.3,Y,57.6614,18.3428,,
01/06/1975 00:00,01/07/1975 00:00,1975-06,14.1,Y,57.6614,18.3428,,
01/07/1975 00:00,01/08/1975 00:00,1975-07,17.7,Y,57.6614,18.3428,,
01/08/1975 00:00,01/09/1975 00:00,1975-08,18.2,Y,57.6614,18.3428,,
01/09/1975 00:00,01/10/1975 00:00,1975-09,14.8,Y,57.6614,18.3428,,
01/10/1975 00:00,01/11/1975 00:00,1975-10,8.5,Y,57.6614,18.3428,,
01/11/1975 00:00,01/12/1975 00:00,1975-11,4.4,Y,57.6614,18.3428,,
01/12/1975 00:00,01/01/1976 00:00,1975-12,3.1,Y,57.6614,18.3428,,
01/01/1976 00:00,01/02/1976 00:00,1976-01,-1.8,Y,57.6614,18.3428,,
01/02/1976 00:00,01/03/1976 00:00,1976-02,-1.3,Y,57.6614,18.3428,,
01/03/1976 00:00,01/04/1976 00:00,1976-03,-1.9,Y,57.6614,18.3428,,
01/04/1976 00:00,01/05/1976 00:00,1976-04,3.5,Y,57.6614,18.3428,,
01/05/1976 00:00,01/06/1976 00:00,1976-05,9.3,Y,57.6614,18.3428,,
01/06/1976 00:00,01/07/1976 00:00,1976-06,13,Y,57.6614,18.3428,,
01/07/1976 00:00,01/08/1976 00:00,1976-07,16.2,Y,57.6614,18.3428,,
01/08/1976 00:00,01/09/1976 00:00,1976-08,16,Y,57.6614,18.3428,,
01/09/1976 00:00,01/10/1976 00:00,1976-09,11,Y,57.6614,18.3428,,
01/10/1976 00:00,01/11/1976 00:00,1976-10,5.8,Y,57.6614,18.3428,,
01/11/1976 00:00,01/12/1976 00:00,1976-11,4.3,Y,57.6614,18.3428,,
01/12/1976 00:00,01/01/1977 00:00,1976-12,-0.9,Y,57.6614,18.3428,,
01/01/1977 00:00,01/02/1977 00:00,1977-01,-0.9,Y,57.6614,18.3428,,
01/02/1977 00:00,01/03/1977 00:00,1977-02,-2.3,Y,57.6614,18.3428,,
01/03/1977 00:00,01/04/1977 00:00,1977-03,1,Y,57.6614,18.3428,,
01/04/1977 00:00,01/05/1977 00:00,1977-04,3,Y,57.6614,18.3428,,
01/05/1977 00:00,01/06/1977 00:00,1977-05,8.8,Y,57.6614,18.3428,,
01/06/1977 00:00,01/07/1977 00:00,1977-06,15.1,Y,57.6614,18.3428,,
01/07/1977 00:00,01/08/1977 00:00,1977-07,14.6,Y,57.6614,18.3428,,
01/08/1977 00:00,01/09/1977 00:00,1977-08,14.9,Y,57.6614,18.3428,,
01/09/1977 00:00,01/10/1977 00:00,1977-09,10.4,Y,57.6614,18.3428,,
01/10/1977 00:00,01/11/1977 00:00,1977-10,8.6,Y,57.6614,18.3428,,
01/11/1977 00:00,01/12/1977 00:00,1977-11,5.4,Y,57.6614,18.3428,,
01/12/1977 00:00,01/01/1978 00:00,1977-12,1.6,Y,57.6614,18.3428,,
01/01/1978 00:00,01/02/1978 00:00,1978-01,0.2,Y,57.6614,18.3428,,
01/02/1978 00:00,01/03/1978 00:00,1978-02,-3.5,Y,57.6614,18.3428,,
01/03/1978 00:00,01/04/1978 00:00,1978-03,0.5,Y,57.6614,18.3428,,
01/04/1978 00:00,01/05/1978 00:00,1978-04,2.8,Y,57.6614,18.3428,,
01/05/1978 00:00,01/06/1978 00:00,1978-05,9.2,Y,57.6614,18.3428,,
01/06/1978 00:00,01/07/1978 00:00,1978-06,14.4,Y,57.6614,18.3428,,
01/07/1978 00:00,01/08/1978 00:00,1978-07,15.8,Y,57.6614,18.3428,,
01/08/1978 00:00,01/09/1978 00:00,1978-08,15.7,Y,57.6614,18.3428,,
01/09/1978 00:00,01/10/1978 00:00,1978-09,10.6,Y,57.6614,18.3428,,
01/10/1978 00:00,01/11/1978 00:00,1978-10,7.8,Y,57.6614,18.3428,,
01/11/1978 00:00,01/12/1978 00:00,1978-11,6.1,Y,57.6614,18.3428,,
01/12/1978 00:00,01/01/1979 00:00,1978-12,-3,Y,57.6614,18.3428,,
01/01/1979 00:00,01/02/1979 00:00,1979-01,-4.1,Y,57.6614,18.3428,,
01/02/1979 00:00,01/03/1979 00:00,1979-02,-4,Y,57.6614,18.3428,,
01/03/1979 00:00,01/04/1979 00:00,1979-03,-0.5,Y,57.6614,18.3428,,
01/04/1979 00:00,01/05/1979 00:00,1979-04,3.3,Y,57.6614,18.3428,,
01/05/1979 00:00,01/06/1979 00:00,1979-05,11,Y,57.6614,18.3428,,
01/06/1979 00:00,01/07/1979 00:00,1979-06,16.3,Y,57.6614,18.3428,,
01/07/1979 00:00,01/08/1979 00:00,1979-07,15,Y,57.6614,18.3428,,
01/08/1979 00:00,01/09/1979 00:00,1979-08,15.7,Y,57.6614,18.3428,,
01/09/1979 00:00,01/10/1979 00:00,1979-09,12.2,Y,57.6614,18.3428,,
01/10/1979 00:00,01/11/1979 00:00,1979-10,6.2,Y,57.6614,18.3428,,
01/11/1979 00:00,01/12/1979 00:00,1979-11,3.8,Y,57.6614,18.3428,,
01/12/1979 00:00,01/01/1980 00:00,1979-12,0.3,Y,57.6614,18.3428,,
01/01/1980 00:00,01/02/1980 00:00,1980-01,-2.2,Y,57.6614,18.3428,,
01/02/1980 00:00,01/03/1980 00:00,1980-02,-3.5,Y,57.6614,18.3428,,
01/03/1980 00:00,01/04/1980 00:00,1980-03,-2.5,Y,57.6614,18.3428,,
01/04/1980 00:00,01/05/1980 00:00,1980-04,4.2,Y,57.6614,18.3428,,
01/05/1980 00:00,01/06/1980 00:00,1980-05,7.3,Y,57.6614,18.3428,,
01/06/1980 00:00,01/07/1980 00:00,1980-06,15.4,Y,57.6614,18.3428,,
01/07/1980 00:00,01/08/1980 00:00,1980-07,16.6,Y,57.6614,18.3428,,
01/08/1980 00:00,01/09/1980 00:00,1980-08,15.4,Y,57.6614,18.3428,,
01/09/1980 00:00,01/10/1980 00:00,1980-09,13.1,Y,57.6614,18.3428,,
01/10/1980 00:00,01/11/1980 00:00,1980-10,7.2,Y,57.6614,18.3428,,
01/11/1980 00:00,01/12/1980 00:00,1980-11,2.1,Y,57.6614,18.3428,,
01/12/1980 00:00,01/01/1981 00:00,1980-12,1.4,Y,57.6614,18.3428,,
01/01/1981 00:00,01/02/1981 00:00,1981-01,-1.5,Y,57.6614,18.3428,,
01/02/1981 00:00,01/03/1981 00:00,1981-02,-1.1,Y,57.6614,18.3428,,
01/03/1981 00:00,01/04/1981 00:00,1981-03,-0.1,Y,57.6614,18.3428,,
01/04/1981 00:00,01/05/1981 00:00,1981-04,3.6,Y,57.6614,18.3428,,
01/05/1981 00:00,01/06/1981 00:00,1981-05,12,Y,57.6614,18.3428,,
01/06/1981 00:00,01/07/1981 00:00,1981-06,13.6,Y,57.6614,18.3428,,
01/07/1981 00:00,01/08/1981 00:00,1981-07,16.9,Y,57.6614,18.3428,,
01/08/1981 00:00,01/09/1981 00:00,1981-08,15.3,Y,57.6614,18.3428,,
01/09/1981 00:00,01/10/1981 00:00,1981-09,12.2,Y,57.6614,18.3428,,
01/10/1981 00:00,01/11/1981 00:00,1981-10,7.9,Y,57.6614,18.3428,,
01/11/1981 00:00,01/12/1981 00:00,1981-11,3.4,Y,57.6614,18.3428,,
01/12/1981 00:00,01/01/1982 00:00,1981-12,-2.3,Y,57.6614,18.3428,,
01/01/1982 00:00,01/02/1982 00:00,1982-01,-2.7,Y,57.6614,18.3428,,
01/02/1982 00:00,01/03/1982 00:00,1982-02,-1.8,Y,57.6614,18.3428,,
01/03/1982 00:00,01/04/1982 00:00,1982-03,1.9,Y,57.6614,18.3428,,
01/04/1982 00:00,01/05/1982 00:00,1982-04,3.9,Y,57.6614,18.3428,,
01/05/1982 00:00,01/06/1982 00:00,1982-05,9.8,Y,57.6614,18.3428,,
01/06/1982 00:00,01/07/1982 00:00,1982-06,12.4,Y,57.6614,18.3428,,
01/07/1982 00:00,01/08/1982 00:00,1982-07,17.2,Y,57.6614,18.3428,,
01/08/1982 00:00,01/09/1982 00:00,1982-08,17.4,Y,57.6614,18.3428,,
01/09/1982 00:00,01/10/1982 00:00,1982-09,12.8,Y,57.6614,18.3428,,
01/10/1982 00:00,01/11/1982 00:00,1982-10,8.3,Y,57.6614,18.3428,,
01/11/1982 00:00,01/12/1982 00:00,1982-11,5.9,Y,57.6614,18.3428,,
01/12/1982 00:00,01/01/1983 00:00,1982-12,2.4,Y,57.6614,18.3428,,
01/01/1983 00:00,01/02/1983 00:00,1983-01,3,Y,57.6614,18.3428,,
01/02/1983 00:00,01/03/1983 00:00,1983-02,-1.1,Y,57.6614,18.3428,,
01/03/1983 00:00,01/04/1983 00:00,1983-03,1.8,Y,57.6614,18.3428,,
01/04/1983 00:00,01/05/1983 00:00,1983-04,5.1,Y,57.6614,18.3428,,
01/05/1983 00:00,01/06/1983 00:00,1983-05,10.6,Y,57.6614,18.3428,,
01/06/1983 00:00,01/07/1983 00:00,1983-06,13.9,Y,57.6614,18.3428,,
01/07/1983 00:00,01/08/1983 00:00,1983-07,17.7,Y,57.6614,18.3428,,
01/08/1983 00:00,01/09/1983 00:00,1983-08,17.3,Y,57.6614,18.3428,,
01/09/1983 00:00,01/10/1983 00:00,1983-09,13.3,Y,57.6614,18.3428,,
01/10/1983 00:00,01/11/1983 00:00,1983-10,8.9,Y,57.6614,18.3428,,
01/11/1983 00:00,01/12/1983 00:00,1983-11,3.2,Y,57.6614,18.3428,,
01/12/1983 00:00,01/01/1984 00:00,1983-12,1.1,Y,57.6614,18.3428,,
01/01/1984 00:00,01/02/1984 00:00,1984-01,0.1,Y,57.6614,18.3428,,
01/02/1984 00:00,01/03/1984 00:00,1984-02,-1.5,Y,57.6614,18.3428,,
01/03/1984 00:00,01/04/1984 00:00,1984-03,-0.3,Y,57.6614,18.3428,,
01/04/1984 00:00,01/05/1984 00:00,1984-04,5.5,Y,57.6614,18.3428,,
01/05/1984 00:00,01/06/1984 00:00,1984-05,11.5,Y,57.6614,18.3428,,
01/06/1984 00:00,01/07/1984 00:00,1984-06,13.5,Y,57.6614,18.3428,,
01/07/1984 00:00,01/08/1984 00:00,1984-07,15.4,Y,57.6614,18.3428,,
01/08/1984 00:00,01/09/1984 00:00,1984-08,16.6,Y,57.6614,18.3428,,
01/09/1984 00:00,01/10/1984 00:00,1984-09,11.3,Y,57.6614,18.3428,,
01/10/1984 00:00,01/11/1984 00:00,1984-10,10,Y,57.6614,18.3428,,
01/11/1984 00:00,01/12/1984 00:00,1984-11,4.2,Y,57.6614,18.3428,,
01/12/1984 00:00,01/01/1985 00:00,1984-12,1.7,Y,57.6614,18.3428,,
01/01/1985 00:00,01/02/1985 00:00,1985-01,-4.8,Y,57.6614,18.3428,,
01/02/1985 00:00,01/03/1985 00:00,1985-02,-7.4,Y,57.6614,18.3428,,
01/03/1985 00:00,01/04/1985 00:00,1985-03,-0.5,Y,57.6614,18.3428,,
01/04/1985 00:00,01/05/1985 00:00,1985-04,2.3,Y,57.6614,18.3428,,
01/05/1985 00:00,01/06/1985 00:00,1985-05,9.9,Y,57.6614,18.3428,,
01/06/1985 00:00,01/07/1985 00:00,1985-06,12.8,Y,57.6614,18.3428,,
01/07/1985 00:00,01/08/1985 00:00,1985-07,15.7,Y,57.6614,18.3428,,
01/08/1985 00:00,01/09/1985 00:00,1985-08,15.5,Y,57.6614,18.3428,,
01/09/1985 00:00,01/10/1985 00:00,1985-09,11,Y,57.6614,18.3428,,
01/10/1985 00:00,01/11/1985 00:00,1985-10,8.7,Y,57.6614,18.3428,,
01/11/1985 00:00,01/12/1985 00:00,1985-11,1.7,Y,57.6614,18.3428,,
01/12/1985 00:00,01/01/1986 00:00,1985-12,-0.3,Y,57.6614,18.3428,,
01/01/1986 00:00,01/02/1986 00:00,1986-01,-2.2,Y,57.6614,18.3428,,
01/02/1986 00:00,01/03/1986 00:00,1986-02,-6,Y,57.6614,18.3428,,
01/03/1986 00:00,01/04/1986 00:00,1986-03,0.4,Y,57.6614,18.3428,,
01/04/1986 00:00,01/05/1986 00:00,1986-04,3.3,Y,57.6614,18.3428,,
01/05/1986 00:00,01/06/1986 00:00,1986-05,11.3,Y,57.6614,18.3428,,
01/06/1986 00:00,01/07/1986 00:00,1986-06,14.2,Y,57.6614,18.3428,,
01/07/1986 00:00,01/08/1986 00:00,1986-07,16.9,Y,57.6614,18.3428,,
01/08/1986 00:00,01/09/1986 00:00,1986-08,14.9,Y,57.6614,18.3428,,
01/09/1986 00:00,01/10/1986 00:00,1986-09,10.2,Y,57.6614,18.3428,,
01/10/1986 00:00,01/11/1986 00:00,1986-10,7.9,Y,57.6614,18.3428,,
01/11/1986 00:00,01/12/1986 00:00,1986-11,5.9,Y,57.6614,18.3428,,
01/12/1986 00:00,01/01/1987 00:00,1986-12,0.7,Y,57.6614,18.3428,,
01/01/1987 00:00,01/02/1987 00:00,1987-01,-6.5,Y,57.6614,18.3428,,
01/02/1987 00:00,01/03/1987 00:00,1987-02,-2.2,Y,57.6614,18.3428,,
01/03/1987 00:00,01/04/1987 00:00,1987-03,-3.6,Y,57.6614,18.3428,,
01/04/1987 00:00,01/05/1987 00:00,1987-04,4.1,Y,57.6614,18.3428,,
01/05/1987 00:00,01/06/1987 00:00,1987-05,7.7,Y,57.6614,18.3428,,
01/06/1987 00:00,01/07/1987 00:00,1987-06,12,Y,57.6614,18.3428,,
01/07/1987 00:00,01/08/1987 00:00,1987-07,15.4,Y,57.6614,18.3428,,
01/08/1987 00:00,01/09/1987 00:00,1987-08,13.9,Y,57.6614,18.3428,,
01/09/1987 00:00,01/10/1987 00:00,1987-09,11.3,Y,57.6614,18.3428,,
01/10/1987 00:00,01/11/1987 00:00,1987-10,8.9,Y,57.6614,18.3428,,
01/11/1987 00:00,01/12/1987 00:00,1987-11,4.1,Y,57.6614,18.3428,,
01/12/1987 00:00,01/01/1988 00:00,1987-12,1.6,Y,57.6614,18.3428,,
01/01/1988 00:00,01/02/1988 00:00,1988-01,1.2,Y,57.6614,18.3428,,
01/02/1988 00:00,01/03/1988 00:00,1988-02,0.8,Y,57.6614,18.3428,,
01/03/1988 00:00,01/04/1988 00:00,1988-03,-0.4,Y,57.6614,18.3428,,
01/04/1988 00:00,01/05/1988 00:00,1988-04,3.4,Y,57.6614,18.3428,,
01/05/1988 00:00,01/06/1988 00:00,1988-05,11,Y,57.6614,18.3428,,
01/06/1988 00:00,01/07/1988 00:00,1988-06,14.4,Y,57.6614,18.3428,,
01/07/1988 00:00,01/08/1988 00:00,1988-07,17.7,Y,57.6614,18.3428,,
01/08/1988 00:00,01/09/1988 00:00,1988-08,15.9,Y,57.6614,18.3428,,
01/09/1988 00:00,01/10/1988 00:00,1988-09,13.5,Y,57.6614,18.3428,,
01/10/1988 00:00,01/11/1988 00:00,1988-10,7.1,Y,57.6614,18.3428,,
01/11/1988 00:00,01/12/1988 00:00,1988-11,1.5,Y,57.6614,18.3428,,
01/12/1988 00:00,01/01/1989 00:00,1988-12,0.2,Y,57.6614,18.3428,,
01/01/1989 00:00,01/02/1989 00:00,1989-01,3.2,Y,57.6614,18.3428,,
01/02/1989 00:00,01/03/1989 00:00,1989-02,3,Y,57.6614,18.3428,,
01/03/1989 00:00,01/04/1989 00:00,1989-03,3.2,Y,57.6614,18.3428,,
01/04/1989 00:00,01/05/1989 00:00,1989-04,5.2,Y,57.6614,18.3428,,
01/05/1989 00:00,01/06/1989 00:00,1989-05,11.4,Y,57.6614,18.3428,,
01/06/1989 00:00,01/07/1989 00:00,1989-06,14.3,Y,57.6614,18.3428,,
01/07/1989 00:00,01/08/1989 00:00,1989-07,17,Y,57.6614,18.3428,,
01/08/1989 00:00,01/09/1989 00:00,1989-08,15.3,Y,57.6614,18.3428,,
01/09/1989 00:00,01/10/1989 00:00,1989-09,13.1,Y,57.6614,18.3428,,
01/10/1989 00:00,01/11/1989 00:00,1989-10,9,Y,57.6614,18.3428,,
01/11/1989 00:00,01/12/1989 00:00,1989-11,4.1,Y,57.6614,18.3428,,
01/12/1989 00:00,01/01/1990 00:00,1989-12,0.9,Y,57.6614,18.3428,,
01/01/1990 00:00,01/02/1990 00:00,1990-01,2.6,Y,57.6614,18.3428,,
01/02/1990 00:00,01/03/1990 00:00,1990-02,4.3,Y,57.6614,18.3428,,
01/03/1990 00:00,01/04/1990 00:00,1990-03,4.3,Y,57.6614,18.3428,,
01/04/1990 00:00,01/05/1990 00:00,1990-04,7,Y,57.6614,18.3428,,
01/05/1990 00:00,01/06/1990 00:00,1990-05,10.6,Y,57.6614,18.3428,,
01/06/1990 00:00,01/07/1990 00:00,1990-06,14.5,Y,57.6614,18.3428,,
01/07/1990 00:00,01/08/1990 00:00,1990-07,15.3,Y,57.6614,18.3428,,
01/08/1990 00:00,01/09/1990 00:00,1990-08,16.8,Y,57.6614,18.3428,,
01/09/1990 00:00,01/10/1990 00:00,1990-09,11.1,Y,57.6614,18.3428,,
