Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/02/1931 00:00,01/03/1931 00:00,1931-02,-2.4,G,57.4034,18.5297,,
01/03/1931 00:00,01/04/1931 00:00,1931-03,-4.4,G,57.4034,18.5297,,
01/04/1931 00:00,01/05/1931 00:00,1931-04,1.9,G,57.4034,18.5297,,
01/05/1931 00:00,01/06/1931 00:00,1931-05,10.3,G,57.4034,18.5297,,
01/06/1931 00:00,01/07/1931 00:00,1931-06,11.5,G,57.4034,18.5297,,
01/07/1931 00:00,01/08/1931 00:00,1931-07,15,G,57.4034,18.5297,,
01/08/1931 00:00,01/09/1931 00:00,1931-08,14.1,G,57.4034,18.5297,,
01/09/1931 00:00,01/10/1931 00:00,1931-09,8.9,G,57.4034,18.5297,,
01/10/1931 00:00,01/11/1931 00:00,1931-10,5.8,G,57.4034,18.5297,,
01/11/1931 00:00,01/12/1931 00:00,1931-11,3.2,G,57.4034,18.5297,,
01/12/1931 00:00,01/01/1932 00:00,1931-12,-0.9,G,57.4034,18.5297,,
01/01/1932 00:00,01/02/1932 00:00,1932-01,1,G,57.4034,18.5297,,
01/02/1932 00:00,01/03/1932 00:00,1932-02,-1.8,G,57.4034,18.5297,,
01/03/1932 00:00,01/04/1932 00:00,1932-03,-2.3,G,57.4034,18.5297,,
01/04/1932 00:00,01/05/1932 00:00,1932-04,4,G,57.4034,18.5297,,
01/05/1932 00:00,01/06/1932 00:00,1932-05,9.3,G,57.4034,18.5297,,
01/06/1932 00:00,01/07/1932 00:00,1932-06,12.7,G,57.4034,18.5297,,
01/07/1932 00:00,01/08/1932 00:00,1932-07,17.8,G,57.4034,18.5297,,
01/08/1932 00:00,01/09/1932 00:00,1932-08,14.6,G,57.4034,18.5297,,
01/09/1932 00:00,01/10/1932 00:00,1932-09,12,G,57.4034,18.5297,,
01/10/1932 00:00,01/11/1932 00:00,1932-10,6,G,57.4034,18.5297,,
