Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risungs;78490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1933-02-01 00:00:00;1971-10-31 23:59:59;20.0;57.8166;18.9333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;9.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;15.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;24.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;39.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;13.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;60.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;31.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;12.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;66.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;20.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;27.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;73.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;22.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;27.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;32.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;1.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;15.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;27.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;40.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;41.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;51.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;33.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;26.0;G
