Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fårö D;79580;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1881-12-01 00:00:00;1996-01-01 23:59:59;8.0;57.8987;19.1592
2017-08-01 00:00:00;2017-09-01 23:59:59;4.0;57.95481;19.2459

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1897-06-01 07:00:01;1897-07-01 07:00:00;1897-06;36.0;G
1897-07-01 07:00:01;1897-08-01 07:00:00;1897-07;24.0;G
1897-08-01 07:00:01;1897-09-01 07:00:00;1897-08;30.0;G
1897-09-01 07:00:01;1897-10-01 07:00:00;1897-09;53.0;G
1897-10-01 07:00:01;1897-11-01 07:00:00;1897-10;14.0;G
1897-11-01 07:00:01;1897-12-01 07:00:00;1897-11;33.0;G
1897-12-01 07:00:01;1898-01-01 07:00:00;1897-12;41.0;G
1898-01-01 07:00:01;1898-02-01 07:00:00;1898-01;16.0;G
1898-02-01 07:00:01;1898-03-01 07:00:00;1898-02;36.0;G
1898-03-01 07:00:01;1898-04-01 07:00:00;1898-03;68.0;G
1898-04-01 07:00:01;1898-05-01 07:00:00;1898-04;17.0;G
1898-05-01 07:00:01;1898-06-01 07:00:00;1898-05;32.0;G
1898-06-01 07:00:01;1898-07-01 07:00:00;1898-06;56.0;G
1898-07-01 07:00:01;1898-08-01 07:00:00;1898-07;93.0;G
1898-08-01 07:00:01;1898-09-01 07:00:00;1898-08;26.0;G
1898-09-01 07:00:01;1898-10-01 07:00:00;1898-09;35.0;G
1898-10-01 07:00:01;1898-11-01 07:00:00;1898-10;22.0;G
1898-11-01 07:00:01;1898-12-01 07:00:00;1898-11;41.0;G
1898-12-01 07:00:01;1899-01-01 07:00:00;1898-12;101.0;G
1899-01-01 07:00:01;1899-02-01 07:00:00;1899-01;28.0;G
1899-02-01 07:00:01;1899-03-01 07:00:00;1899-02;23.0;G
1899-03-01 07:00:01;1899-04-01 07:00:00;1899-03;31.0;G
1899-04-01 07:00:01;1899-05-01 07:00:00;1899-04;23.0;G
1899-05-01 07:00:01;1899-06-01 07:00:00;1899-05;46.0;G
1899-06-01 07:00:01;1899-07-01 07:00:00;1899-06;15.0;G
1899-07-01 07:00:01;1899-08-01 07:00:00;1899-07;2.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;23.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;52.0;G
1899-10-01 07:00:01;1899-11-01 07:00:00;1899-10;20.0;G
1899-11-01 07:00:01;1899-12-01 07:00:00;1899-11;30.0;G
1899-12-01 07:00:01;1900-01-01 07:00:00;1899-12;41.0;G
1900-01-01 07:00:01;1900-02-01 07:00:00;1900-01;22.0;G
1900-02-01 07:00:01;1900-03-01 07:00:00;1900-02;40.0;G
1900-03-01 07:00:01;1900-04-01 07:00:00;1900-03;24.0;G
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;15.0;G
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;11.0;G
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;12.0;G
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;41.0;G
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;37.0;G
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;70.0;G
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;119.0;G
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;43.0;G
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;44.0;G
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;21.0;G
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;20.0;G
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;15.0;G
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;22.0;G
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;4.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;52.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;3.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;56.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;45.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;48.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;39.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;53.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;45.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;3.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;21.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;4.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;27.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;63.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;55.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;36.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;27.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;49.0;G
1902-11-01 07:00:01;1902-12-01 07:00:00;1902-11;9.0;G
1902-12-01 07:00:01;1903-01-01 07:00:00;1902-12;29.0;G
1903-01-01 07:00:01;1903-02-01 07:00:00;1903-01;22.0;G
1903-02-01 07:00:01;1903-03-01 07:00:00;1903-02;14.0;G
1903-03-01 07:00:01;1903-04-01 07:00:00;1903-03;17.0;G
1903-04-01 07:00:01;1903-05-01 07:00:00;1903-04;56.0;G
1903-05-01 07:00:01;1903-06-01 07:00:00;1903-05;28.0;G
1903-06-01 07:00:01;1903-07-01 07:00:00;1903-06;3.0;G
1903-07-01 07:00:01;1903-08-01 07:00:00;1903-07;30.0;G
1903-08-01 07:00:01;1903-09-01 07:00:00;1903-08;150.0;G
1903-09-01 07:00:01;1903-10-01 07:00:00;1903-09;34.0;G
1903-10-01 07:00:01;1903-11-01 07:00:00;1903-10;51.0;G
1903-11-01 07:00:01;1903-12-01 07:00:00;1903-11;30.0;G
1903-12-01 07:00:01;1904-01-01 07:00:00;1903-12;42.0;G
1904-01-01 07:00:01;1904-02-01 07:00:00;1904-01;18.0;G
1904-02-01 07:00:01;1904-03-01 07:00:00;1904-02;28.0;G
1904-03-01 07:00:01;1904-04-01 07:00:00;1904-03;12.0;G
1904-04-01 07:00:01;1904-05-01 07:00:00;1904-04;18.0;G
1904-05-01 07:00:01;1904-06-01 07:00:00;1904-05;23.0;G
1904-06-01 07:00:01;1904-07-01 07:00:00;1904-06;24.0;G
1904-07-01 07:00:01;1904-08-01 07:00:00;1904-07;24.0;G
1904-08-01 07:00:01;1904-09-01 07:00:00;1904-08;67.0;G
1904-09-01 07:00:01;1904-10-01 07:00:00;1904-09;11.0;G
1904-10-01 07:00:01;1904-11-01 07:00:00;1904-10;43.0;G
1904-11-01 07:00:01;1904-12-01 07:00:00;1904-11;74.0;G
1904-12-01 07:00:01;1905-01-01 07:00:00;1904-12;46.0;G
1905-01-01 07:00:01;1905-02-01 07:00:00;1905-01;15.0;G
1905-02-01 07:00:01;1905-03-01 07:00:00;1905-02;10.0;G
1905-03-01 07:00:01;1905-04-01 07:00:00;1905-03;13.0;G
1905-04-01 07:00:01;1905-05-01 07:00:00;1905-04;36.0;G
1905-05-01 07:00:01;1905-06-01 07:00:00;1905-05;4.0;G
1905-06-01 07:00:01;1905-07-01 07:00:00;1905-06;10.0;G
1905-07-01 07:00:01;1905-08-01 07:00:00;1905-07;78.0;G
1905-08-01 07:00:01;1905-09-01 07:00:00;1905-08;76.0;G
1905-09-01 07:00:01;1905-10-01 07:00:00;1905-09;43.0;G
1905-10-01 07:00:01;1905-11-01 07:00:00;1905-10;75.0;G
1905-11-01 07:00:01;1905-12-01 07:00:00;1905-11;69.0;G
1905-12-01 07:00:01;1906-01-01 07:00:00;1905-12;20.0;G
1906-01-01 07:00:01;1906-02-01 07:00:00;1906-01;19.0;G
1906-02-01 07:00:01;1906-03-01 07:00:00;1906-02;20.0;G
1906-03-01 07:00:01;1906-04-01 07:00:00;1906-03;38.0;G
1906-04-01 07:00:01;1906-05-01 07:00:00;1906-04;15.0;G
1906-05-01 07:00:01;1906-06-01 07:00:00;1906-05;25.0;G
1906-06-01 07:00:01;1906-07-01 07:00:00;1906-06;47.0;G
1906-07-01 07:00:01;1906-08-01 07:00:00;1906-07;55.0;G
1906-08-01 07:00:01;1906-09-01 07:00:00;1906-08;94.0;G
1906-09-01 07:00:01;1906-10-01 07:00:00;1906-09;9.0;G
1906-10-01 07:00:01;1906-11-01 07:00:00;1906-10;22.0;G
1906-11-01 07:00:01;1906-12-01 07:00:00;1906-11;45.0;G
1906-12-01 07:00:01;1907-01-01 07:00:00;1906-12;27.0;G
1907-01-01 07:00:01;1907-02-01 07:00:00;1907-01;27.0;G
1907-02-01 07:00:01;1907-03-01 07:00:00;1907-02;18.0;G
1907-03-01 07:00:01;1907-04-01 07:00:00;1907-03;28.0;G
1907-04-01 07:00:01;1907-05-01 07:00:00;1907-04;25.0;G
1907-05-01 07:00:01;1907-06-01 07:00:00;1907-05;20.0;G
1907-06-01 07:00:01;1907-07-01 07:00:00;1907-06;35.0;G
1907-07-01 07:00:01;1907-08-01 07:00:00;1907-07;109.0;G
1907-08-01 07:00:01;1907-09-01 07:00:00;1907-08;76.0;G
1907-09-01 07:00:01;1907-10-01 07:00:00;1907-09;24.0;G
1907-10-01 07:00:01;1907-11-01 07:00:00;1907-10;15.0;G
1907-11-01 07:00:01;1907-12-01 07:00:00;1907-11;36.0;G
1907-12-01 07:00:01;1908-01-01 07:00:00;1907-12;26.0;G
1908-01-01 07:00:01;1908-02-01 07:00:00;1908-01;21.0;G
1908-02-01 07:00:01;1908-03-01 07:00:00;1908-02;22.0;G
1908-03-01 07:00:01;1908-04-01 07:00:00;1908-03;22.0;G
1908-04-01 07:00:01;1908-05-01 07:00:00;1908-04;31.0;G
1908-05-01 07:00:01;1908-06-01 07:00:00;1908-05;28.0;G
1908-06-01 07:00:01;1908-07-01 07:00:00;1908-06;40.0;G
1908-07-01 07:00:01;1908-08-01 07:00:00;1908-07;26.0;G
1908-08-01 07:00:01;1908-09-01 07:00:00;1908-08;59.0;G
1908-09-01 07:00:01;1908-10-01 07:00:00;1908-09;32.0;G
1908-10-01 07:00:01;1908-11-01 07:00:00;1908-10;5.0;G
1908-11-01 07:00:01;1908-12-01 07:00:00;1908-11;50.0;G
1908-12-01 07:00:01;1909-01-01 07:00:00;1908-12;31.0;G
1909-01-01 07:00:01;1909-02-01 07:00:00;1909-01;12.0;G
1909-02-01 07:00:01;1909-03-01 07:00:00;1909-02;13.0;G
