Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-12-01 00:00:00;1993-03-01 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;79.9;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;58.3;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;67.2;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;30.2;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;30.1;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;7.1;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;12.8;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;43.3;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;33.1;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;65.4;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;38.9;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;89.1;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;13.4;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;75.6;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;75.5;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;15.7;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;31.8;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;45.6;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;32.8;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;56.6;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;13.3;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;40.4;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;64.0;G
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;14.6;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;57.0;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;64.7;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;96.4;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;52.2;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;36.6;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;20.6;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;44.7;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;75.4;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;11.5;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;8.3;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;61.2;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;106.5;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;75.2;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;34.9;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;62.5;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;45.8;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;14.4;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;19.3;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;20.5;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;78.2;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;32.9;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;143.0;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;66.7;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;45.2;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;66.9;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;62.8;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;23.6;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;11.9;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;51.3;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;9.4;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;26.0;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;68.8;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;4.4;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;33.7;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;114.1;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;47.7;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;43.7;Y
