Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg D;68550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-01-01 00:00:00;2019-06-01 15:00:00;38.0;56.922;18.1504
1880-01-01 00:00:00;2012-12-31 23:59:59;38.0;56.9222;18.1471

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;76.3;Y
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;17.6;Y
1891-10-01 07:00:01;1891-11-01 07:00:00;1891-10;27.0;G
1891-11-01 07:00:01;1891-12-01 07:00:00;1891-11;42.5;Y
1891-12-01 07:00:01;1892-01-01 07:00:00;1891-12;37.8;Y
1892-01-01 07:00:01;1892-02-01 07:00:00;1892-01;23.4;Y
1892-02-01 07:00:01;1892-03-01 07:00:00;1892-02;17.4;Y
1892-03-01 07:00:01;1892-04-01 07:00:00;1892-03;19.3;Y
1892-04-01 07:00:01;1892-05-01 07:00:00;1892-04;19.6;Y
1892-05-01 07:00:01;1892-06-01 07:00:00;1892-05;13.5;Y
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;68.6;Y
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;40.9;Y
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;41.1;Y
1892-09-01 07:00:01;1892-10-01 07:00:00;1892-09;10.9;Y
1892-10-01 07:00:01;1892-11-01 07:00:00;1892-10;58.5;Y
1892-11-01 07:00:01;1892-12-01 07:00:00;1892-11;4.0;G
1892-12-01 07:00:01;1893-01-01 07:00:00;1892-12;98.5;Y
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;80.8;Y
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;30.3;Y
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;19.1;Y
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;10.7;Y
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;6.4;Y
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;15.7;Y
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;14.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;55.9;Y
1893-09-01 07:00:01;1893-10-01 07:00:00;1893-09;56.7;Y
1893-10-01 07:00:01;1893-11-01 07:00:00;1893-10;67.6;Y
1893-11-01 07:00:01;1893-12-01 07:00:00;1893-11;28.0;Y
1893-12-01 07:00:01;1894-01-01 07:00:00;1893-12;26.8;Y
1894-01-01 07:00:01;1894-02-01 07:00:00;1894-01;19.2;Y
1894-02-01 07:00:01;1894-03-01 07:00:00;1894-02;16.4;Y
1894-03-01 07:00:01;1894-04-01 07:00:00;1894-03;16.9;Y
1894-04-01 07:00:01;1894-05-01 07:00:00;1894-04;16.1;Y
1894-05-01 07:00:01;1894-06-01 07:00:00;1894-05;19.6;Y
1894-06-01 07:00:01;1894-07-01 07:00:00;1894-06;13.2;Y
1894-07-01 07:00:01;1894-08-01 07:00:00;1894-07;52.1;Y
1894-08-01 07:00:01;1894-09-01 07:00:00;1894-08;25.2;Y
1894-09-01 07:00:01;1894-10-01 07:00:00;1894-09;45.0;G
1894-10-01 07:00:01;1894-11-01 07:00:00;1894-10;71.9;Y
1894-11-01 07:00:01;1894-12-01 07:00:00;1894-11;39.5;Y
1894-12-01 07:00:01;1895-01-01 07:00:00;1894-12;64.0;G
1895-01-01 07:00:01;1895-02-01 07:00:00;1895-01;64.0;G
1895-02-01 07:00:01;1895-03-01 07:00:00;1895-02;93.0;G
1895-03-01 07:00:01;1895-04-01 07:00:00;1895-03;35.0;G
1895-04-01 07:00:01;1895-05-01 07:00:00;1895-04;13.0;G
1895-05-01 07:00:01;1895-06-01 07:00:00;1895-05;10.0;G
1895-06-01 07:00:01;1895-07-01 07:00:00;1895-06;15.0;G
1895-07-01 07:00:01;1895-08-01 07:00:00;1895-07;37.0;G
1895-08-01 07:00:01;1895-09-01 07:00:00;1895-08;70.0;G
1895-09-01 07:00:01;1895-10-01 07:00:00;1895-09;17.0;G
1895-10-01 07:00:01;1895-11-01 07:00:00;1895-10;53.0;G
1895-11-01 07:00:01;1895-12-01 07:00:00;1895-11;54.0;G
1895-12-01 07:00:01;1896-01-01 07:00:00;1895-12;24.0;G
1896-01-01 07:00:01;1896-02-01 07:00:00;1896-01;34.0;G
1896-02-01 07:00:01;1896-03-01 07:00:00;1896-02;2.0;G
1896-03-01 07:00:01;1896-04-01 07:00:00;1896-03;36.0;G
1896-04-01 07:00:01;1896-05-01 07:00:00;1896-04;19.0;G
1896-05-01 07:00:01;1896-06-01 07:00:00;1896-05;20.0;G
1896-06-01 07:00:01;1896-07-01 07:00:00;1896-06;10.0;G
1896-07-01 07:00:01;1896-08-01 07:00:00;1896-07;24.0;G
1896-08-01 07:00:01;1896-09-01 07:00:00;1896-08;52.0;G
