Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1886-08-01 07:00:01,1886-09-01 07:00:00,1886-08,7.5,Y,56.9222,18.1471
1886-09-01 07:00:01,1886-10-01 07:00:00,1886-09,34.4,Y,56.9222,18.1471
1886-10-01 07:00:01,1886-11-01 07:00:00,1886-10,19.4,Y,56.9222,18.1471
1886-11-01 07:00:01,1886-12-01 07:00:00,1886-11,41.7,Y,56.9222,18.1471
1886-12-01 07:00:01,1887-01-01 07:00:00,1886-12,56.5,Y,56.9222,18.1471
1887-01-01 07:00:01,1887-02-01 07:00:00,1887-01,17,Y,56.9222,18.1471
1887-02-01 07:00:01,1887-03-01 07:00:00,1887-02,5.2,Y,56.9222,18.1471
1887-03-01 07:00:01,1887-04-01 07:00:00,1887-03,16.4,Y,56.9222,18.1471
1887-04-01 07:00:01,1887-05-01 07:00:00,1887-04,16.1,Y,56.9222,18.1471
1887-05-01 07:00:01,1887-06-01 07:00:00,1887-05,49,Y,56.9222,18.1471
1887-06-01 07:00:01,1887-07-01 07:00:00,1887-06,26.8,Y,56.9222,18.1471
1887-07-01 07:00:01,1887-08-01 07:00:00,1887-07,23.9,Y,56.9222,18.1471
1887-08-01 07:00:01,1887-09-01 07:00:00,1887-08,25.8,Y,56.9222,18.1471
1887-09-01 07:00:01,1887-10-01 07:00:00,1887-09,25.4,Y,56.9222,18.1471
1887-10-01 07:00:01,1887-11-01 07:00:00,1887-10,23.5,Y,56.9222,18.1471
1887-11-01 07:00:01,1887-12-01 07:00:00,1887-11,54.5,Y,56.9222,18.1471
1887-12-01 07:00:01,1888-01-01 07:00:00,1887-12,54.2,Y,56.9222,18.1471
1888-01-01 07:00:01,1888-02-01 07:00:00,1888-01,11.6,Y,56.9222,18.1471
1888-02-01 07:00:01,1888-03-01 07:00:00,1888-02,24.9,Y,56.9222,18.1471
1888-03-01 07:00:01,1888-04-01 07:00:00,1888-03,69.5,Y,56.9222,18.1471
1888-04-01 07:00:01,1888-05-01 07:00:00,1888-04,35.9,Y,56.9222,18.1471
1888-05-01 07:00:01,1888-06-01 07:00:00,1888-05,24.9,Y,56.9222,18.1471
1888-06-01 07:00:01,1888-07-01 07:00:00,1888-06,20.8,Y,56.9222,18.1471
1888-07-01 07:00:01,1888-08-01 07:00:00,1888-07,50.1,Y,56.9222,18.1471
1888-08-01 07:00:01,1888-09-01 07:00:00,1888-08,25.6,Y,56.9222,18.1471
1888-09-01 07:00:01,1888-10-01 07:00:00,1888-09,31.8,Y,56.9222,18.1471
1888-10-01 07:00:01,1888-11-01 07:00:00,1888-10,42,G,56.9222,18.1471
1888-11-01 07:00:01,1888-12-01 07:00:00,1888-11,30,Y,56.9222,18.1471
1888-12-01 07:00:01,1889-01-01 07:00:00,1888-12,16.3,Y,56.9222,18.1471
1889-01-01 07:00:01,1889-02-01 07:00:00,1889-01,11,Y,56.9222,18.1471
1889-02-01 07:00:01,1889-03-01 07:00:00,1889-02,116.7,Y,56.9222,18.1471
1889-03-01 07:00:01,1889-04-01 07:00:00,1889-03,42.2,Y,56.9222,18.1471
1889-04-01 07:00:01,1889-05-01 07:00:00,1889-04,33.4,Y,56.9222,18.1471
1889-05-01 07:00:01,1889-06-01 07:00:00,1889-05,5.8,Y,56.9222,18.1471
1889-06-01 07:00:01,1889-07-01 07:00:00,1889-06,28.6,Y,56.9222,18.1471
1889-07-01 07:00:01,1889-08-01 07:00:00,1889-07,43.6,Y,56.9222,18.1471
1889-08-01 07:00:01,1889-09-01 07:00:00,1889-08,43.8,Y,56.9222,18.1471
1889-09-01 07:00:01,1889-10-01 07:00:00,1889-09,27.4,Y,56.9222,18.1471
1889-10-01 07:00:01,1889-11-01 07:00:00,1889-10,32.5,Y,56.9222,18.1471
1889-11-01 07:00:01,1889-12-01 07:00:00,1889-11,22.7,Y,56.9222,18.1471
1889-12-01 07:00:01,1890-01-01 07:00:00,1889-12,16.5,Y,56.9222,18.1471
1890-01-01 07:00:01,1890-02-01 07:00:00,1890-01,26.7,Y,56.9222,18.1471
1890-02-01 07:00:01,1890-03-01 07:00:00,1890-02,9.4,Y,56.9222,18.1471
1890-03-01 07:00:01,1890-04-01 07:00:00,1890-03,20.8,Y,56.9222,18.1471
1890-04-01 07:00:01,1890-05-01 07:00:00,1890-04,39.5,Y,56.9222,18.1471
1890-05-01 07:00:01,1890-06-01 07:00:00,1890-05,13.8,Y,56.9222,18.1471
1890-06-01 07:00:01,1890-07-01 07:00:00,1890-06,17.6,Y,56.9222,18.1471
1890-07-01 07:00:01,1890-08-01 07:00:00,1890-07,40.7,Y,56.9222,18.1471
1890-08-01 07:00:01,1890-09-01 07:00:00,1890-08,99,Y,56.9222,18.1471
1890-09-01 07:00:01,1890-10-01 07:00:00,1890-09,14.3,Y,56.9222,18.1471
1890-10-01 07:00:01,1890-11-01 07:00:00,1890-10,71.7,Y,56.9222,18.1471
1890-11-01 07:00:01,1890-12-01 07:00:00,1890-11,43.9,Y,56.9222,18.1471
1890-12-01 07:00:01,1891-01-01 07:00:00,1890-12,16.3,Y,56.9222,18.1471
1891-01-01 07:00:01,1891-02-01 07:00:00,1891-01,62.8,Y,56.9222,18.1471
1891-02-01 07:00:01,1891-03-01 07:00:00,1891-02,3.9,Y,56.9222,18.1471
1891-03-01 07:00:01,1891-04-01 07:00:00,1891-03,54.8,Y,56.9222,18.1471
1891-04-01 07:00:01,1891-05-01 07:00:00,1891-04,17,Y,56.9222,18.1471
1891-05-01 07:00:01,1891-06-01 07:00:00,1891-05,14.5,Y,56.9222,18.1471
1891-06-01 07:00:01,1891-07-01 07:00:00,1891-06,25.4,Y,56.9222,18.1471
1891-07-01 07:00:01,1891-08-01 07:00:00,1891-07,79.3,Y,56.9222,18.1471
1891-08-01 07:00:01,1891-09-01 07:00:00,1891-08,76.3,Y,56.9222,18.1471
1891-09-01 07:00:01,1891-10-01 07:00:00,1891-09,17.6,Y,56.9222,18.1471
1891-10-01 07:00:01,1891-11-01 07:00:00,1891-10,27,G,56.9222,18.1471
1891-11-01 07:00:01,1891-12-01 07:00:00,1891-11,42.5,Y,56.9222,18.1471
1891-12-01 07:00:01,1892-01-01 07:00:00,1891-12,37.8,Y,56.9222,18.1471
1892-01-01 07:00:01,1892-02-01 07:00:00,1892-01,23.4,Y,56.9222,18.1471
1892-02-01 07:00:01,1892-03-01 07:00:00,1892-02,17.4,Y,56.9222,18.1471
1892-03-01 07:00:01,1892-04-01 07:00:00,1892-03,19.3,Y,56.9222,18.1471
1892-04-01 07:00:01,1892-05-01 07:00:00,1892-04,19.6,Y,56.9222,18.1471
1892-05-01 07:00:01,1892-06-01 07:00:00,1892-05,13.5,Y,56.9222,18.1471
1892-06-01 07:00:01,1892-07-01 07:00:00,1892-06,68.6,Y,56.9222,18.1471
1892-07-01 07:00:01,1892-08-01 07:00:00,1892-07,40.9,Y,56.9222,18.1471
1892-08-01 07:00:01,1892-09-01 07:00:00,1892-08,41.1,Y,56.9222,18.1471
1892-09-01 07:00:01,1892-10-01 07:00:00,1892-09,10.9,Y,56.9222,18.1471
1892-10-01 07:00:01,1892-11-01 07:00:00,1892-10,58.5,Y,56.9222,18.1471
1892-11-01 07:00:01,1892-12-01 07:00:00,1892-11,4,G,56.9222,18.1471
1892-12-01 07:00:01,1893-01-01 07:00:00,1892-12,98.5,Y,56.9222,18.1471
1893-01-01 07:00:01,1893-02-01 07:00:00,1893-01,80.8,Y,56.9222,18.1471
1893-02-01 07:00:01,1893-03-01 07:00:00,1893-02,30.3,Y,56.9222,18.1471
1893-03-01 07:00:01,1893-04-01 07:00:00,1893-03,19.1,Y,56.9222,18.1471
1893-04-01 07:00:01,1893-05-01 07:00:00,1893-04,10.7,Y,56.9222,18.1471
1893-05-01 07:00:01,1893-06-01 07:00:00,1893-05,6.4,Y,56.9222,18.1471
1893-06-01 07:00:01,1893-07-01 07:00:00,1893-06,15.7,Y,56.9222,18.1471
1893-07-01 07:00:01,1893-08-01 07:00:00,1893-07,14,G,56.9222,18.1471
1893-08-01 07:00:01,1893-09-01 07:00:00,1893-08,55.9,Y,56.9222,18.1471
1893-09-01 07:00:01,1893-10-01 07:00:00,1893-09,56.7,Y,56.9222,18.1471
1893-10-01 07:00:01,1893-11-01 07:00:00,1893-10,67.6,Y,56.9222,18.1471
1893-11-01 07:00:01,1893-12-01 07:00:00,1893-11,28,Y,56.9222,18.1471
1893-12-01 07:00:01,1894-01-01 07:00:00,1893-12,26.8,Y,56.9222,18.1471
1894-01-01 07:00:01,1894-02-01 07:00:00,1894-01,19.2,Y,56.9222,18.1471
1894-02-01 07:00:01,1894-03-01 07:00:00,1894-02,16.4,Y,56.9222,18.1471
